Iteration	Posterior	Likelihood	Prior	clock_host	phy_scale[1]	phy_scale[2]	switch_rate_0_to_2	switch_rate_2_to_0	switch_rates[1]	switch_rates[2]	switch_rates[3]	switch_rates[4]	switch_rates[5]	switch_rates[6]	switch_rates_pos[1]	switch_rates_pos[2]
0	-1507.071	-1505.091	-1.97972	0.02401153	1.95571	1.95571	0.4139374	0.5860626	1e-06	0.413937	1e-06	1e-06	0.586063	1e-06	0.413937	0.586063
500	-702.1757	-700.9003	-1.275403	1.262006	0.013397	0.013397	0.05602551	0.9439745	1e-06	0.0560255	1e-06	1e-06	0.943974	1e-06	0.0560255	0.943974
1000	-672.8407	-671.7008	-1.139926	1.045596	0.0943299	0.0943299	0.0710477	0.9289523	1e-06	0.0710477	1e-06	1e-06	0.928952	1e-06	0.0710477	0.928952
1500	-664.0334	-662.5953	-1.438101	1.310406	0.127695	0.127695	0.04977738	0.9502226	1e-06	0.0497774	1e-06	1e-06	0.950223	1e-06	0.0497774	0.950223
2000	-668.0178	-666.8958	-1.121996	1.048791	0.0732052	0.0732052	0.06411094	0.9358891	1e-06	0.0641109	1e-06	1e-06	0.935889	1e-06	0.0641109	0.935889
2500	-656.7168	-655.4911	-1.225648	1.079706	0.145942	0.145942	0.06381237	0.9361876	1e-06	0.0638124	1e-06	1e-06	0.936188	1e-06	0.0638124	0.936188
3000	-717.64	-716.3973	-1.24272	1.236976	0.00574449	0.00574449	0.06210644	0.9378936	1e-06	0.0621064	1e-06	1e-06	0.937894	1e-06	0.0621064	0.937894
3500	-691.244	-690.0686	-1.175484	1.147223	0.0282607	0.0282607	0.06568485	0.9343151	1e-06	0.0656849	1e-06	1e-06	0.934315	1e-06	0.0656849	0.934315
4000	-667.7277	-666.6301	-1.097551	1.092528	0.00502248	0.00502248	0.06556417	0.9344358	1e-06	0.0655642	1e-06	1e-06	0.934436	1e-06	0.0655642	0.934436
4500	-760.1326	-758.7856	-1.346999	1.299994	0.0470051	0.0470051	0.07553135	0.9244687	1e-06	0.0755313	1e-06	1e-06	0.924469	1e-06	0.0755313	0.924469
5000	-701.1715	-699.9103	-1.261191	1.111297	0.149894	0.149894	0.06219146	0.9378085	1e-06	0.0621915	1e-06	1e-06	0.937809	1e-06	0.0621915	0.937809
5500	-679.797	-678.6438	-1.153162	1.116437	0.0367243	0.0367243	0.06320769	0.9367923	1e-06	0.0632077	1e-06	1e-06	0.936792	1e-06	0.0632077	0.936792
6000	-707.661	-706.2832	-1.377767	1.162114	0.215652	0.215652	0.07409054	0.9259095	1e-06	0.0740905	1e-06	1e-06	0.925909	1e-06	0.0740905	0.925909
6500	-666.2345	-665.3211	-0.9133821	0.8682136	0.0451684	0.0451684	0.08562622	0.9143738	1e-06	0.0856262	1e-06	1e-06	0.914374	1e-06	0.0856262	0.914374
7000	-630.0953	-629.1583	-0.9370513	0.8886562	0.0483951	0.0483951	0.0657635	0.9342365	1e-06	0.0657635	1e-06	1e-06	0.934237	1e-06	0.0657635	0.934237
7500	-673.1093	-672.0664	-1.042873	1.004778	0.0380953	0.0380953	0.07426645	0.9257336	1e-06	0.0742664	1e-06	1e-06	0.925734	1e-06	0.0742664	0.925734
8000	-711.4183	-710.0985	-1.319843	1.104606	0.215237	0.215237	0.0822622	0.9177378	1e-06	0.0822622	1e-06	1e-06	0.917738	1e-06	0.0822622	0.917738
8500	-653.2252	-652.2958	-0.9294529	0.9148319	0.0146211	0.0146211	0.08388092	0.9161191	1e-06	0.0838809	1e-06	1e-06	0.916119	1e-06	0.0838809	0.916119
9000	-673.1807	-672.0226	-1.158142	1.125989	0.0321536	0.0321536	0.05719914	0.9428009	1e-06	0.0571991	1e-06	1e-06	0.942801	1e-06	0.0571991	0.942801
9500	-738.9249	-737.7712	-1.153722	1.091892	0.0618293	0.0618293	0.06274137	0.9372586	1e-06	0.0627414	1e-06	1e-06	0.937259	1e-06	0.0627414	0.937259
10000	-679.5481	-678.4711	-1.077013	0.9397963	0.137217	0.137217	0.07459919	0.9254008	1e-06	0.0745992	1e-06	1e-06	0.925401	1e-06	0.0745992	0.925401
10500	-694.9662	-693.7443	-1.221944	1.190618	0.031326	0.031326	0.06817387	0.9318261	1e-06	0.0681739	1e-06	1e-06	0.931826	1e-06	0.0681739	0.931826
11000	-654.9756	-653.905	-1.070591	1.050316	0.0202752	0.0202752	0.06366519	0.9363348	1e-06	0.0636652	1e-06	1e-06	0.936335	1e-06	0.0636652	0.936335
11500	-747.8589	-746.7295	-1.129404	1.111628	0.0177762	0.0177762	0.08678718	0.9132128	1e-06	0.0867872	1e-06	1e-06	0.913213	1e-06	0.0867872	0.913213
12000	-721.3317	-720.0759	-1.255819	1.144107	0.111711	0.111711	0.06907785	0.9309221	1e-06	0.0690779	1e-06	1e-06	0.930922	1e-06	0.0690779	0.930922
12500	-718.7559	-717.5226	-1.233224	1.135218	0.0980061	0.0980061	0.06187077	0.9381292	1e-06	0.0618708	1e-06	1e-06	0.938129	1e-06	0.0618708	0.938129
13000	-700.7028	-699.5011	-1.201667	1.098647	0.103021	0.103021	0.07096859	0.9290314	1e-06	0.0709686	1e-06	1e-06	0.929031	1e-06	0.0709686	0.929031
13500	-642.3386	-641.3836	-0.9549289	0.9163953	0.0385336	0.0385336	0.08951395	0.910486	1e-06	0.089514	1e-06	1e-06	0.910486	1e-06	0.089514	0.910486
14000	-642.1492	-641.0981	-1.051097	1.043779	0.00731847	0.00731847	0.0728739	0.9271261	1e-06	0.0728739	1e-06	1e-06	0.927126	1e-06	0.0728739	0.927126
14500	-689.7027	-688.6925	-1.010172	1.00982	0.000351911	0.000351911	0.08576568	0.9142343	1e-06	0.0857657	1e-06	1e-06	0.914234	1e-06	0.0857657	0.914234
15000	-699.6842	-698.6255	-1.05875	0.9981724	0.0605775	0.0605775	0.07582694	0.9241731	1e-06	0.0758269	1e-06	1e-06	0.924173	1e-06	0.0758269	0.924173
15500	-651.0432	-649.9734	-1.069846	0.9119139	0.157933	0.157933	0.06747868	0.9325213	1e-06	0.0674787	1e-06	1e-06	0.932521	1e-06	0.0674787	0.932521
16000	-637.1007	-636.141	-0.959711	0.9221918	0.0375192	0.0375192	0.0642104	0.9357896	1e-06	0.0642104	1e-06	1e-06	0.93579	1e-06	0.0642104	0.93579
16500	-706.3558	-705.2191	-1.136678	1.045584	0.0910937	0.0910937	0.08223683	0.9177632	1e-06	0.0822368	1e-06	1e-06	0.917763	1e-06	0.0822368	0.917763
17000	-681.4254	-680.3193	-1.106091	0.9500494	0.156042	0.156042	0.07927321	0.9207268	1e-06	0.0792732	1e-06	1e-06	0.920727	1e-06	0.0792732	0.920727
17500	-723.6401	-722.4114	-1.228712	1.080338	0.148374	0.148374	0.0880162	0.9119838	1e-06	0.0880162	1e-06	1e-06	0.911984	1e-06	0.0880162	0.911984
18000	-706.4132	-705.4346	-0.9786353	0.9508022	0.0278332	0.0278332	0.08391252	0.9160875	1e-06	0.0839125	1e-06	1e-06	0.916087	1e-06	0.0839125	0.916087
