Iteration	Posterior	Likelihood	Prior	lambda[1]	lambda[2]	lambda[3]	lambda[4]	lambda[5]	lambda[6]	lambda[7]	lambda[8]	lambda[9]	lambda[10]	lambda[11]	lambda[12]	lambda[13]	lambda[14]	lambda[15]	lambda[16]	lambda[17]	lambda[18]	lambda[19]	lambda[20]	lambda[21]	lambda[22]	lambda[23]	lambda[24]	lambda[25]	lambda[26]	lambda[27]	lambda[28]	lambda[29]	lambda[30]	lambda[31]	lambda[32]	lambda[33]	lambda[34]	lambda[35]	lambda[36]	lambda[37]	lambda[38]	lambda[39]	lambda[40]	lambda[41]	lambda[42]	lambda[43]	lambda[44]	lambda[45]	lambda[46]	lambda[47]	lambda[48]	lambda[49]	lambda[50]	lambda[51]	lambda[52]	lambda[53]	lambda[54]	lambda[55]	lambda[56]	lambda[57]	lambda[58]	lambda[59]	lambda[60]	lambda[61]	lambda[62]	lambda[63]	lambda[64]	lambda[65]	lambda[66]	lambda[67]	lambda[68]	lambda[69]	lambda[70]	lambda[71]	lambda[72]	lambda[73]	lambda[74]	lambda[75]	lambda[76]	lambda[77]	lambda[78]	lambda[79]	lambda[80]	lambda[81]	lambda[82]	lambda[83]	lambda[84]	lambda[85]	lambda[86]	lambda[87]	lambda[88]	lambda[89]	lambda[90]	lambda[91]	lambda[92]	lambda[93]	lambda[94]	lambda[95]	lambda[96]	lambda[97]	lambda[98]	lambda[99]	lambda[100]	lambda[101]	lambda[102]	lambda[103]	lambda[104]	lambda[105]	lambda[106]	lambda[107]	lambda[108]	lambda[109]	lambda[110]	lambda[111]	lambda[112]	lambda[113]	lambda[114]	lambda[115]	lambda[116]	lambda[117]	lambda[118]	lambda[119]	lambda[120]	lambda[121]	lambda[122]	lambda[123]	lambda[124]	lambda[125]	lambda[126]	lambda[127]	m_w[1][1]	m_w[1][2]	m_w[1][3]	m_w[1][4]	m_w[1][5]	m_w[1][6]	m_w[1][7]	mu[1]	mu[2]	mu[3]	mu[4]	mu[5]	mu[6]	mu[7]	mu[8]	mu[9]	mu[10]	mu[11]	mu[12]	mu[13]	mu[14]	mu[15]	mu[16]	mu[17]	mu[18]	mu[19]	mu[20]	mu[21]	mu[22]	mu[23]	mu[24]	mu[25]	mu[26]	mu[27]	mu[28]	mu[29]	mu[30]	mu[31]	mu[32]	mu[33]	mu[34]	mu[35]	mu[36]	mu[37]	mu[38]	mu[39]	mu[40]	mu[41]	mu[42]	mu[43]	mu[44]	mu[45]	mu[46]	mu[47]	mu[48]	mu[49]	mu[50]	mu[51]	mu[52]	mu[53]	mu[54]	mu[55]	mu[56]	mu[57]	mu[58]	mu[59]	mu[60]	mu[61]	mu[62]	mu[63]	mu[64]	mu[65]	mu[66]	mu[67]	mu[68]	mu[69]	mu[70]	mu[71]	mu[72]	mu[73]	mu[74]	mu[75]	mu[76]	mu[77]	mu[78]	mu[79]	mu[80]	mu[81]	mu[82]	mu[83]	mu[84]	mu[85]	mu[86]	mu[87]	mu[88]	mu[89]	mu[90]	mu[91]	mu[92]	mu[93]	mu[94]	mu[95]	mu[96]	mu[97]	mu[98]	mu[99]	mu[100]	mu[101]	mu[102]	mu[103]	mu[104]	mu[105]	mu[106]	mu[107]	mu[108]	mu[109]	mu[110]	mu[111]	mu[112]	mu[113]	mu[114]	mu[115]	mu[116]	mu[117]	mu[118]	mu[119]	mu[120]	mu[121]	mu[122]	mu[123]	mu[124]	mu[125]	mu[126]	mu[127]	phi_b[1]	phi_b[2]	phi_d[1]	phi_d[2]	phi_e[1]	phi_e[2]	phi_w[1]	phi_w[2]	r_e[1]	r_e[2]	r_e[3]	r_e[4]	r_e[5]	r_e[6]	r_e[7]	rho_b	rho_d	rho_e	rho_w	sigma_b[1]	sigma_b[2]	sigma_d[1]	sigma_d[2]	sigma_e[1]	sigma_e[2]	sigma_w[1]	sigma_w[2]
0	-394.9734	-371.2414	-23.73207	0.527252	0.547881	0.575899	0.557943	0.511455	0.551861	0.548376	1.15795	1.20397	1.25546	1.76926	1.89999	1.38338	1.09002	1.1191	1.16661	1.61708	1.20446	1.33952	1.22398	1.42941	1.19229	1.52744	1.89525	1.35427	1.29036	1.50598	1.22956	1.80441	2.14937	2.00358	2.0707	1.68058	1.72408	1.75987	1.99541	2.05068	1.94608	1.82067	1.81453	1.88482	2.05074	2.20649	1.96913	1.72723	1.7837	1.7868	2.01933	2.0571	1.95643	2.04752	2.18146	2.3512	2.01005	1.90351	2.00225	1.91364	2.13159	1.88977	2.02757	1.88189	1.94284	1.87633	2.62028	2.32507	2.53986	2.50278	2.5515	2.44568	2.68084	2.59048	2.67927	2.33311	2.35385	2.40396	2.54109	2.61936	2.55146	2.58422	2.80718	2.68951	2.77617	2.48275	2.46508	2.52566	2.64495	2.72551	2.63606	2.55353	2.50838	2.59391	2.65529	2.79305	2.60222	2.4342	2.50891	2.4782	2.63363	3.13254	3.27752	2.98925	3.17548	3.14863	3.21665	3.39621	3.10093	3.28356	3.24756	3.31659	3.20127	3.39902	3.29939	3.39962	3.08653	3.0823	3.14984	3.24448	3.33673	3.26051	3.85241	3.9663	4.10144	3.78996	3.98403	3.94205	4.03031	4.78467	1.43966	1.49599	1.57249	1.52347	1.39653	1.50686	1.49734	0.0391313	0.0389252	0.0386588	0.0388278	0.0392961	0.0388864	0.0389203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.11643	-0.763627	-0.410668	-0.00749927	-0.0741515	0.438054	0.538695	0.759929	0.0391313	0.0389252	0.0386588	0.0388278	0.0392961	0.0388864	0.0389203	0.03420408	0.5598052	0.5528113	0.5454628	-1.32416	-0.0684967	0.604364	-2.44134	-1.41527	-1.19826	0.236647	0.178666
100	-386.2477	-366.2552	-19.99246	0.696559	0.655675	0.606109	0.637135	0.730785	0.648238	0.654743	1.39189	1.34984	1.32149	1.58915	1.58419	1.34818	1.45333	1.41619	1.37502	1.57778	1.40196	1.40521	1.29961	1.41591	1.43762	1.52847	1.60338	1.3585	1.3721	1.56065	1.36174	2.03005	2.19469	2.08653	2.06366	2.12957	2.08673	2.05238	2.22638	2.19854	2.10421	2.0889	2.0251	2.00459	2.15475	2.16332	2.01486	2.14037	2.11451	2.05444	2.18287	2.1847	2.08941	2.07641	2.20931	2.21943	2.03807	2.2154	2.20319	2.11303	2.23115	2.11584	2.11995	2.00226	2.06418	2.15091	2.77462	2.76773	2.88783	2.81728	2.78791	2.7187	2.84893	2.75393	2.73987	2.82361	2.77079	2.74249	2.88349	2.86558	2.77892	2.78208	2.90552	2.80079	2.78563	2.88906	2.82395	2.79941	2.93242	2.91461	2.82051	2.82329	2.74326	2.72874	2.83932	2.84226	2.70826	2.86472	2.84625	2.77182	2.87088	3.51246	3.47232	3.46771	3.58124	3.51039	3.48897	3.52794	3.52156	3.63306	3.55895	3.53768	3.46415	3.58115	3.47991	3.47044	3.56931	3.50567	3.48449	3.60981	3.59767	3.5051	4.23908	4.29462	4.2485	4.23583	4.35428	4.27493	4.26161	5.0665	0.60497	0.569461	0.526413	0.553359	0.634696	0.563002	0.568652	0.140545	0.134129	0.126225	0.131189	0.145855	0.132952	0.133981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.984954	-1.41762	-0.276797	0.763616	-0.655938	0.754859	-0.84902	-0.281898	0.140545	0.134129	0.126225	0.131189	0.145855	0.132952	0.133981	0.01548466	0.1307195	0.4246876	0.660264	0.274897	-0.644344	0.243002	-0.454686	-0.304172	-0.734919	-1.01663	0.503984
200	-396.1788	-371.5439	-24.63494	0.840571	0.802224	0.754994	0.784656	0.872271	0.795191	0.801344	1.65031	1.60418	1.56758	1.65763	1.6228	1.55578	1.71824	1.68049	1.63455	1.6847	1.64578	1.6131	1.55852	1.59898	1.67767	1.66623	1.63964	1.57158	1.59906	1.69771	1.60677	2.41086	2.4568	2.4034	2.36735	2.52438	2.4782	2.44085	2.52159	2.48488	2.43291	2.45347	2.40417	2.36871	2.44667	2.41408	2.35489	2.52012	2.48398	2.43518	2.47757	2.47063	2.41814	2.38349	2.45827	2.42539	2.36308	2.53511	2.50022	2.44847	2.48852	2.45646	2.42384	2.36763	2.40135	2.48826	3.21156	3.28517	3.32654	3.27725	3.24051	3.21298	3.25579	3.20274	3.16791	3.32747	3.27971	3.24326	3.32056	3.28528	3.23321	3.22694	3.2684	3.21419	3.17916	3.34141	3.29247	3.25643	3.33241	3.29703	3.24406	3.26733	3.21571	3.18102	3.25397	3.22096	3.16292	3.33273	3.29759	3.24666	3.28525	4.08696	4.01564	4.0895	4.13078	4.08069	4.04507	4.02848	4.10251	4.14332	4.09279	4.05713	4.02898	4.07019	4.01585	3.98166	4.1438	4.09436	4.0589	4.13419	4.09973	4.04638	4.89612	4.90942	4.83679	4.90998	4.95211	4.9004	4.86587	5.72653	0.59344	0.566367	0.533023	0.553965	0.61582	0.561402	0.565746	0.131103	0.123335	0.113924	0.119814	0.137611	0.121923	0.123158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.772508	-1.29675	-1.16895	1.72977	-0.857333	0.176603	-0.655392	-0.541967	0.131103	0.123335	0.113924	0.119814	0.137611	0.121923	0.123158	0.002655174	1.137164	0.708231	0.806554	0.18761	-0.0468293	-0.371735	-0.351332	-0.368889	-1.29273	-1.72089	1.16645
300	-383.9871	-365.6826	-18.30458	0.630617	0.624384	0.616376	0.62145	0.635604	0.623216	0.624238	1.68804	1.70841	1.74379	2.10844	2.14435	1.85617	1.63719	1.64966	1.67882	2.054	1.74892	1.85789	1.69414	1.9144	1.7584	2.00388	2.14905	1.8429	1.80615	2.00561	1.74746	2.56812	2.89472	2.7916	2.82834	2.48555	2.50841	2.53054	2.81244	2.83725	2.7521	2.63583	2.57498	2.63898	2.84945	2.93547	2.71526	2.56304	2.61462	2.56347	2.83739	2.85493	2.75185	2.82271	2.9352	3.01037	2.75147	2.75996	2.82003	2.73066	2.91556	2.72473	2.8318	2.63416	2.7245	2.73134	3.71993	3.39732	3.68256	3.64084	3.67039	3.51066	3.80211	3.67634	3.74081	3.46417	3.43841	3.48403	3.71063	3.76786	3.65489	3.69468	3.9329	3.78388	3.84323	3.65142	3.60836	3.65722	3.83583	3.88843	3.75519	3.71384	3.59823	3.67666	3.78327	3.8729	3.65077	3.62235	3.69355	3.58825	3.777	4.67381	4.77832	4.46358	4.76103	4.68382	4.73956	4.92539	4.64853	4.91579	4.82457	4.87745	4.71086	4.96209	4.79595	4.87613	4.68889	4.61542	4.68233	4.85518	4.93105	4.77709	5.97079	6.15135	6.20536	5.90583	6.21175	6.08411	6.16402	7.83082	0.322482	0.319295	0.3152	0.317794	0.325032	0.318697	0.31922	0.024472	0.022818	0.0208346	0.0220733	0.0258685	0.0225189	0.0227805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.360534	-0.477436	-0.474059	0.948413	-0.982212	-0.0325354	-0.139426	-0.0643001	0.024472	0.022818	0.0208346	0.0220733	0.0258685	0.0225189	0.0227805	0.120912	0.1680115	0.05490491	0.6250997	0.381055	-0.0169276	-0.777225	0.484082	-0.0757867	-0.721447	-1.13296	-0.00177726
400	-389.0723	-367.2211	-21.85126	0.539793	0.538575	0.536996	0.537999	0.540768	0.538346	0.538547	1.2708	1.26991	1.26963	1.27774	1.27707	1.27132	1.27115	1.27047	1.26986	1.27774	1.27202	1.2731	1.26829	1.27355	1.27293	1.27679	1.27764	1.27158	1.27179	1.27754	1.27089	1.90517	1.91273	1.90944	1.90897	1.90621	1.90546	1.90497	1.91322	1.91254	1.90941	1.90795	1.90511	1.9055	1.91162	1.91185	1.90656	1.90804	1.90823	1.90554	1.91209	1.91255	1.90912	1.90938	1.91314	1.91322	1.90734	1.91267	1.91273	1.90945	1.91352	1.90982	1.91077	1.90537	1.90811	1.91066	2.56174	2.55662	2.56447	2.56207	2.56155	2.55739	2.56441	2.56053	2.56062	2.55955	2.55744	2.55752	2.5646	2.56456	2.56078	2.56169	2.56701	2.56271	2.56271	2.56427	2.56177	2.56176	2.56723	2.5671	2.56291	2.56334	2.55936	2.55996	2.56392	2.5644	2.55873	2.56328	2.56374	2.55987	2.56447	3.26248	3.26229	3.25744	3.26544	3.26223	3.26227	3.2654	3.26232	3.26892	3.26537	3.26533	3.2614	3.26726	3.26246	3.26293	3.26443	3.26113	3.2616	3.26711	3.26748	3.26277	4.0481	4.05228	4.05084	4.04708	4.05461	4.05024	4.05079	4.97966	0.332633	0.331882	0.330909	0.331527	0.333233	0.331741	0.331865	0.103139	0.108378	0.115586	0.110955	0.0991646	0.109396	0.108505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0202684	-1.64791	-0.25943	1.61332	0.695487	0.10151	-0.0317118	0.417237	0.103139	0.108378	0.115586	0.110955	0.0991646	0.109396	0.108505	0.04216814	1.208995	0.04957044	0.5387166	0.677029	-0.696257	-0.711351	-1.33827	0.776001	-0.0449837	-0.805619	-0.262704
500	-389.5293	-367.0822	-22.44713	0.523697	0.540641	0.563483	0.548867	0.510627	0.543897	0.541046	1.10332	1.12633	1.14351	1.1134	1.13048	1.15229	1.07286	1.08993	1.11301	1.10009	1.10693	1.12444	1.14649	1.13292	1.09385	1.10521	1.12267	1.1444	1.12959	1.09209	1.12431	1.68658	1.67358	1.696	1.71313	1.63305	1.6561	1.67322	1.64315	1.66022	1.68268	1.66734	1.68988	1.70722	1.67662	1.69392	1.71585	1.63681	1.65411	1.67667	1.66343	1.66558	1.68796	1.70527	1.67409	1.69136	1.71314	1.63505	1.65232	1.67474	1.66088	1.66822	1.6857	1.7076	1.69341	1.65512	2.25974	2.21956	2.20663	2.22927	2.24639	2.25361	2.24048	2.26275	2.28002	2.20036	2.22308	2.24034	2.20998	2.22721	2.24951	2.25177	2.23822	2.26039	2.27764	2.19862	2.22124	2.23848	2.20773	2.22494	2.24714	2.23226	2.25451	2.2719	2.24077	2.25814	2.27997	2.20169	2.21905	2.24133	2.2276	2.80276	2.83658	2.79646	2.78357	2.80601	2.82326	2.83444	2.79476	2.78153	2.80388	2.82112	2.8284	2.81498	2.83703	2.85439	2.77536	2.79778	2.81514	2.7844	2.80173	2.8238	3.39688	3.39501	3.42852	3.38867	3.37566	3.39782	3.4152	4.01792	1.85996	1.92013	2.00126	1.94935	1.81354	1.9317	1.92157	0.10467	0.099547	0.0932619	0.0972059	0.108921	0.0986093	0.0994295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024632	-1.83116	-0.254963	1.38698	-0.704418	0.183805	0.446956	-0.652418	0.10467	0.099547	0.0932619	0.0972059	0.108921	0.0986093	0.0994295	0.00857084	0.750704	0.2918596	0.538658	0.552926	-1.29192	0.212363	-1.56849	-0.940943	-0.060871	-0.0934648	0.65797
600	-393.6129	-370.9898	-22.62314	0.81791	0.821839	0.826971	0.823708	0.814826	0.822582	0.821931	1.66502	1.67151	1.67741	1.68606	1.6918	1.68462	1.65497	1.65982	1.66677	1.68042	1.66872	1.67799	1.67585	1.68255	1.66586	1.67962	1.6901	1.68211	1.67692	1.6764	1.67298	2.50689	2.51857	2.51941	2.52529	2.48983	2.49647	2.50178	2.50735	2.51269	2.51428	2.50541	2.50801	2.51529	2.5173	2.52533	2.52085	2.4944	2.50111	2.50415	2.51343	2.51488	2.51564	2.52314	2.52041	2.52796	2.52178	2.50303	2.51002	2.51137	2.51622	2.5097	2.51885	2.51516	2.51586	2.50669	3.35854	3.33364	3.34383	3.34737	3.35296	3.34742	3.35758	3.35726	3.36444	3.33218	3.33643	3.34286	3.34588	3.35273	3.35295	3.35544	3.36289	3.3615	3.36845	3.34046	3.3439	3.35044	3.35101	3.35764	3.3569	3.35166	3.35169	3.3596	3.35678	3.36506	3.36032	3.33986	3.34745	3.34792	3.35316	4.19268	4.20577	4.18128	4.19204	4.19387	4.20069	4.21192	4.18955	4.19866	4.19979	4.20647	4.20072	4.20889	4.20663	4.21456	4.18677	4.1887	4.19612	4.19648	4.20421	4.20245	5.05333	5.06121	5.07181	5.04832	5.05929	5.05868	5.06664	5.94352	2.57913	2.59152	2.6077	2.59741	2.5694	2.59386	2.59181	0.13513	0.115789	0.0947303	0.10761	0.152735	0.112464	0.115369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.298621	0.00410079	-0.868896	-0.146881	-2.16813	-1.54121	0.0672467	0.749192	0.13513	0.115789	0.0947303	0.10761	0.152735	0.112464	0.115369	0.006774486	0.2900178	0.009670414	0.8213872	0.807259	0.115975	-0.395185	-0.636779	1.31535	1.23317	0.72026	0.283672
700	-390.4784	-367.3435	-23.13498	0.634541	0.631294	0.627102	0.62976	0.637093	0.630683	0.631218	1.56938	1.56481	1.56105	1.56384	1.56032	1.55831	1.57601	1.57247	1.56774	1.56673	1.56797	1.5635	1.56104	1.56142	1.5704	1.56608	1.56176	1.55992	1.563	1.56858	1.5646	2.34762	2.34675	2.34347	2.33983	2.35893	2.35428	2.35063	2.35327	2.34974	2.34638	2.35042	2.34691	2.34279	2.34661	2.34261	2.34038	2.35719	2.35318	2.34959	2.34927	2.3486	2.3454	2.34136	2.34646	2.34253	2.34061	2.35532	2.35139	2.34811	2.34915	2.34932	2.34492	2.34277	2.34451	2.35178	3.15102	3.16245	3.16137	3.15763	3.15401	3.15448	3.1539	3.15094	3.147	3.16517	3.16126	3.15731	3.16058	3.15671	3.1537	3.1528	3.15316	3.15043	3.14653	3.16323	3.15955	3.15565	3.15982	3.156	3.15321	3.15622	3.15333	3.1491	3.15408	3.14993	3.14792	3.16305	3.1589	3.15594	3.15669	4.04103	4.03365	4.0449	4.04376	4.04045	4.03653	4.03263	4.04288	4.04253	4.03941	4.03553	4.03588	4.03594	4.03348	4.02933	4.04606	4.0428	4.03864	4.04278	4.0387	4.03618	5.05538	5.05377	5.04711	5.05769	5.05684	5.05415	5.04996	6.28806	1.7046	1.69588	1.68462	1.69176	1.71146	1.69424	1.69568	0.150971	0.143518	0.134379	0.140113	0.157159	0.142154	0.143347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00701947	-0.47727	-0.193679	1.49565	-0.710617	0.733955	-0.0719796	-1.88993	0.150971	0.143518	0.134379	0.140113	0.157159	0.142154	0.143347	0.06511527	0.7640912	0.1869045	0.6316629	-0.200747	0.46229	-0.547032	-0.888187	0.48595	-0.633589	-1.28676	1.67628
800	-384.1245	-366.0213	-18.10318	0.541821	0.549329	0.559242	0.552926	0.535945	0.550757	0.549507	1.09344	1.10355	1.11136	1.10037	1.10824	1.11582	1.07963	1.08726	1.09743	1.09398	1.09531	1.10368	1.11244	1.10775	1.08946	1.09604	1.10484	1.11228	1.10565	1.09014	1.10303	1.65415	1.65025	1.65941	1.66725	1.63015	1.64027	1.64797	1.63613	1.64388	1.65319	1.6461	1.65564	1.66365	1.65133	1.65959	1.66783	1.63211	1.64003	1.64964	1.64533	1.64649	1.65567	1.66376	1.65077	1.65894	1.66686	1.63229	1.6403	1.6496	1.6447	1.64693	1.6553	1.66379	1.65811	1.64106	2.21041	2.19101	2.18668	2.19634	2.20411	2.20671	2.20251	2.21153	2.21958	2.18294	2.19273	2.2006	2.18833	2.19632	2.20546	2.20678	2.20224	2.21109	2.2191	2.18301	2.19267	2.20058	2.18801	2.19596	2.20495	2.19838	2.20752	2.21564	2.20255	2.21081	2.21909	2.18423	2.1923	2.20153	2.19659	2.74788	2.76358	2.74424	2.73999	2.74941	2.75737	2.76342	2.74426	2.73985	2.74917	2.75712	2.75964	2.75517	2.76391	2.77207	2.73601	2.74548	2.75351	2.74087	2.749	2.75785	3.3024	3.30243	3.31781	3.29849	3.29435	3.30342	3.31156	3.85908	1.29529	1.31324	1.33694	1.32184	1.28124	1.31665	1.31366	0.081712	0.0791661	0.0759757	0.0779867	0.0837904	0.0786949	0.0791072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.47576	-0.513857	-0.730958	0.651007	-0.444288	0.450623	0.193165	0.396633	0.081712	0.0791661	0.0759757	0.0779867	0.0837904	0.0786949	0.0791072	0.0006856804	0.2077898	0.3022466	0.5484589	0.873585	0.160592	-0.0777001	-0.469302	-0.986198	-0.281293	0.65822	-0.371723
900	-389.3825	-366.7637	-22.61875	0.619723	0.594459	0.563165	0.582843	0.640478	0.589811	0.593878	1.454	1.46011	1.49521	2.33981	2.4466	1.68678	1.42879	1.42358	1.43591	2.18907	1.53508	1.70925	1.42085	1.82159	1.56288	2.05125	2.46352	1.66627	1.60879	2.06453	1.51675	2.19832	2.79653	2.53834	2.59411	2.14825	2.15219	2.16077	2.65562	2.68809	2.48282	2.30755	2.20558	2.27951	2.67528	2.85782	2.39941	2.23744	2.28743	2.20288	2.66849	2.70187	2.48122	2.58531	2.87694	3.05208	2.47605	2.55135	2.6496	2.45404	2.84619	2.44072	2.61749	2.27217	2.43387	2.46537	3.32387	2.8987	3.32665	3.21828	3.24863	3.01466	3.49325	3.25721	3.35528	2.9963	2.94724	2.98632	3.3543	3.4364	3.23529	3.289	3.72442	3.44692	3.53857	3.27173	3.17848	3.23265	3.55685	3.63596	3.40347	3.3199	3.1382	3.23948	3.45868	3.62357	3.21162	3.20538	3.2904	3.13318	3.46566	4.05203	4.20142	3.78544	4.20444	4.07395	4.14294	4.43787	4.02368	4.42822	4.28276	4.35092	4.09515	4.51727	4.23961	4.35965	4.08583	3.98033	4.05357	4.3513	4.46132	4.21951	5.09519	5.34356	5.45148	5.00801	5.45599	5.27269	5.37986	6.64503	1.67249	1.60431	1.51986	1.57296	1.7285	1.59177	1.60274	0.0400383	0.0357806	0.0309168	0.0339229	0.0437731	0.0350299	0.0356861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.822973	0.272961	-0.712284	-0.217402	-1.5781	0.441729	-0.584145	-2.31059	0.0400383	0.0357806	0.0309168	0.0339229	0.0437731	0.0350299	0.0356861	0.08688121	0.4504551	0.01112988	0.5973146	0.579575	0.0698631	-0.510908	-1.46477	0.415315	0.920149	0.0279902	0.317245
