Iteration	Posterior	Likelihood	Prior	lambda[1]	lambda[2]	lambda[3]	lambda[4]	lambda[5]	lambda[6]	lambda[7]	lambda[8]	lambda[9]	lambda[10]	lambda[11]	lambda[12]	lambda[13]	lambda[14]	lambda[15]	lambda[16]	lambda[17]	lambda[18]	lambda[19]	lambda[20]	lambda[21]	lambda[22]	lambda[23]	lambda[24]	lambda[25]	lambda[26]	lambda[27]	lambda[28]	lambda[29]	lambda[30]	lambda[31]	lambda[32]	lambda[33]	lambda[34]	lambda[35]	lambda[36]	lambda[37]	lambda[38]	lambda[39]	lambda[40]	lambda[41]	lambda[42]	lambda[43]	lambda[44]	lambda[45]	lambda[46]	lambda[47]	lambda[48]	lambda[49]	lambda[50]	lambda[51]	lambda[52]	lambda[53]	lambda[54]	lambda[55]	lambda[56]	lambda[57]	lambda[58]	lambda[59]	lambda[60]	lambda[61]	lambda[62]	lambda[63]	lambda[64]	lambda[65]	lambda[66]	lambda[67]	lambda[68]	lambda[69]	lambda[70]	lambda[71]	lambda[72]	lambda[73]	lambda[74]	lambda[75]	lambda[76]	lambda[77]	lambda[78]	lambda[79]	lambda[80]	lambda[81]	lambda[82]	lambda[83]	lambda[84]	lambda[85]	lambda[86]	lambda[87]	lambda[88]	lambda[89]	lambda[90]	lambda[91]	lambda[92]	lambda[93]	lambda[94]	lambda[95]	lambda[96]	lambda[97]	lambda[98]	lambda[99]	lambda[100]	lambda[101]	lambda[102]	lambda[103]	lambda[104]	lambda[105]	lambda[106]	lambda[107]	lambda[108]	lambda[109]	lambda[110]	lambda[111]	lambda[112]	lambda[113]	lambda[114]	lambda[115]	lambda[116]	lambda[117]	lambda[118]	lambda[119]	lambda[120]	lambda[121]	lambda[122]	lambda[123]	lambda[124]	lambda[125]	lambda[126]	lambda[127]	m_w[1][1]	m_w[1][2]	m_w[1][3]	m_w[1][4]	m_w[1][5]	m_w[1][6]	m_w[1][7]	mu[1]	mu[2]	mu[3]	mu[4]	mu[5]	mu[6]	mu[7]	mu[8]	mu[9]	mu[10]	mu[11]	mu[12]	mu[13]	mu[14]	mu[15]	mu[16]	mu[17]	mu[18]	mu[19]	mu[20]	mu[21]	mu[22]	mu[23]	mu[24]	mu[25]	mu[26]	mu[27]	mu[28]	mu[29]	mu[30]	mu[31]	mu[32]	mu[33]	mu[34]	mu[35]	mu[36]	mu[37]	mu[38]	mu[39]	mu[40]	mu[41]	mu[42]	mu[43]	mu[44]	mu[45]	mu[46]	mu[47]	mu[48]	mu[49]	mu[50]	mu[51]	mu[52]	mu[53]	mu[54]	mu[55]	mu[56]	mu[57]	mu[58]	mu[59]	mu[60]	mu[61]	mu[62]	mu[63]	mu[64]	mu[65]	mu[66]	mu[67]	mu[68]	mu[69]	mu[70]	mu[71]	mu[72]	mu[73]	mu[74]	mu[75]	mu[76]	mu[77]	mu[78]	mu[79]	mu[80]	mu[81]	mu[82]	mu[83]	mu[84]	mu[85]	mu[86]	mu[87]	mu[88]	mu[89]	mu[90]	mu[91]	mu[92]	mu[93]	mu[94]	mu[95]	mu[96]	mu[97]	mu[98]	mu[99]	mu[100]	mu[101]	mu[102]	mu[103]	mu[104]	mu[105]	mu[106]	mu[107]	mu[108]	mu[109]	mu[110]	mu[111]	mu[112]	mu[113]	mu[114]	mu[115]	mu[116]	mu[117]	mu[118]	mu[119]	mu[120]	mu[121]	mu[122]	mu[123]	mu[124]	mu[125]	mu[126]	mu[127]	phi_b[1]	phi_b[2]	phi_d[1]	phi_d[2]	phi_e[1]	phi_e[2]	phi_w[1]	phi_w[2]	r_e[1]	r_e[2]	r_e[3]	r_e[4]	r_e[5]	r_e[6]	r_e[7]	rho_b	rho_d	rho_e	rho_w	sigma_b[1]	sigma_b[2]	sigma_d[1]	sigma_d[2]	sigma_e[1]	sigma_e[2]	sigma_w[1]	sigma_w[2]
0	-389.4804	-367.4903	-21.99012	0.567556	0.616102	0.685444	0.640553	0.531796	0.625712	0.617293	1.71017	1.64426	1.56217	1.22959	1.27384	1.42498	2.18661	2.01218	1.7809	1.20243	1.4741	1.34739	1.73047	1.3344	1.42673	1.22511	1.25037	1.41472	1.41479	1.19024	1.51172	2.42399	1.87103	2.01051	2.04458	2.87858	2.67408	2.55277	1.80277	1.84529	1.9936	2.15705	2.41264	2.24729	1.9249	1.95224	2.13067	2.30129	2.14852	2.42889	1.90035	1.86673	2.02342	2.02783	1.89034	1.91327	2.12187	1.81544	1.83313	1.99635	1.86484	2.01799	1.9652	2.2595	2.08429	1.98025	2.65294	3.48546	2.46015	2.60359	2.63582	3.06202	2.56293	2.73056	2.74404	3.03503	3.26661	3.07822	2.51345	2.53966	2.71716	2.66224	2.50866	2.66082	2.6711	2.47459	2.64032	2.63411	2.45355	2.47943	2.64173	2.59481	2.83866	2.7678	2.60127	2.60183	2.85014	2.59919	2.56099	2.81029	2.57899	3.27754	3.3809	4.02904	3.18085	3.35748	3.36768	3.28565	3.31392	3.09569	3.25127	3.26175	3.43644	3.21555	3.41336	3.39323	3.23625	3.48129	3.40843	3.18585	3.1891	3.39978	4.06032	3.91447	4.04409	4.15478	3.84017	4.04777	4.02499	4.74394	0.436779	0.474138	0.527502	0.492955	0.409258	0.481534	0.475055	0.0119429	0.0109304	0.00974178	0.0104807	0.0128121	0.0107493	0.0109076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.69143	1.18324	-0.723383	0.461133	-1.24343	-0.0988613	1.15198	0.4429	0.0119429	0.0109304	0.00974178	0.0104807	0.0128121	0.0107493	0.0109076	0.0173402	0.1788035	0.0204885	0.6102991	-1.72444	0.496075	0.178572	-0.618758	0.0964056	-0.626829	-0.894646	0.0846088
10	-392.3703	-367.1997	-25.17059	0.669371	0.620931	0.563181	0.599201	0.710474	0.612197	0.619835	1.7082	1.662	1.62979	1.82876	1.792	1.64941	1.77068	1.73059	1.68877	1.85257	1.72421	1.71741	1.60206	1.71542	1.76685	1.81806	1.81317	1.66456	1.68592	1.85793	1.67656	2.49966	2.65328	2.56358	2.52953	2.60438	2.56002	2.52359	2.71221	2.67423	2.58892	2.57304	2.49401	2.47321	2.62901	2.60942	2.48076	2.62921	2.60434	2.52846	2.66365	2.66	2.56844	2.54751	2.66306	2.64021	2.49978	2.71306	2.68821	2.60052	2.6958	2.60567	2.59727	2.4703	2.53752	2.64708	3.45157	3.43007	3.58037	3.50923	3.47373	3.38288	3.52599	3.42599	3.40224	3.50476	3.43887	3.41196	3.58035	3.55409	3.45718	3.46163	3.57887	3.47083	3.44524	3.5881	3.51554	3.48834	3.63293	3.6049	3.50036	3.51582	3.41623	3.39995	3.51726	3.50112	3.36772	3.5675	3.54872	3.45187	3.5537	4.50128	4.44282	4.42547	4.57972	4.49424	4.46864	4.50362	4.51024	4.64593	4.55448	4.52757	4.4376	4.56259	4.44653	4.42913	4.57252	4.48673	4.46724	4.61132	4.59212	4.47886	5.69488	5.77245	5.69217	5.68867	5.84006	5.73435	5.71779	7.29855	0.77136	0.71554	0.64899	0.6905	0.818726	0.705475	0.714277	0.120748	0.137602	0.163068	0.146398	0.108859	0.141035	0.138026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.154942	-1.01991	-0.586626	0.0595611	1.83402	-0.548611	-1.05438	0.552616	0.120748	0.137602	0.163068	0.146398	0.108859	0.141035	0.138026	0.1013585	0.1576523	1.496891	0.6263347	-1.54502	-0.739201	0.328312	-1.2485	-1.16124	-1.42312	0.815768	-1.01872
20	-387.7299	-364.2186	-23.51134	0.583468	0.538532	0.485265	0.518449	0.621795	0.530455	0.537518	1.60989	1.46957	1.33021	1.16069	1.10766	1.1652	1.99269	1.83671	1.6168	1.21361	1.43585	1.23742	1.4354	1.17502	1.46496	1.21005	1.12635	1.19801	1.27504	1.24954	1.38051	2.18904	1.76602	1.79659	1.73004	2.69221	2.48971	2.33842	1.87814	1.82206	1.8627	2.0821	2.16486	1.96011	1.81273	1.73462	1.81849	2.34656	2.14879	2.24038	1.86636	1.81256	1.86005	1.75506	1.7845	1.70178	1.81558	1.94854	1.85655	1.91115	1.83706	1.94903	1.79778	1.96819	1.88495	1.98583	2.41034	3.24962	2.51712	2.54609	2.47696	2.80526	2.41597	2.4778	2.3848	3.0519	3.0976	2.88977	2.55191	2.47238	2.54386	2.46746	2.35151	2.40853	2.31391	2.58611	2.63416	2.51977	2.4801	2.40121	2.46841	2.50244	2.62057	2.45506	2.457	2.34826	2.49649	2.68727	2.54552	2.66917	2.5109	3.22426	3.1165	3.8649	3.21528	3.28186	3.18431	3.00497	3.30977	3.09929	3.1577	3.06207	3.22139	3.03661	3.1419	3.01448	3.32751	3.44326	3.27304	3.19503	3.08879	3.20491	4.02291	3.83587	3.77897	4.16657	3.85807	3.97342	3.84049	4.74468	0.351201	0.324153	0.292091	0.312065	0.374271	0.319291	0.323543	0.0291952	0.0316588	0.0351734	0.0328987	0.0273792	0.0321462	0.0317192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.11901	-1.13725	-0.602819	-0.092935	1.13709	1.11092	-1.12492	1.97842	0.0291952	0.0316588	0.0351734	0.0328987	0.0273792	0.0321462	0.0317192	0.03373615	0.1870131	0.01113604	0.5435369	-0.10639	-0.645996	0.326211	-1.58996	0.0575895	0.975896	0.279949	-1.15951
30	-391.7853	-366.5819	-25.20337	0.445339	0.443922	0.442087	0.443251	0.446464	0.443655	0.443889	1.68127	1.59743	1.49762	1.13289	1.11213	1.31376	1.92515	1.83992	1.69996	1.16604	1.51762	1.32604	1.61418	1.26029	1.50861	1.19701	1.11185	1.33429	1.39471	1.2003	1.5058	2.37933	1.8115	1.93517	1.89314	2.7107	2.58778	2.49068	1.88032	1.85352	1.98627	2.22382	2.36145	2.19111	1.89005	1.82148	2.04504	2.42492	2.265	2.40133	1.91597	1.85908	2.00329	1.90194	1.82519	1.75458	2.01867	1.96567	1.87924	2.02869	1.85102	2.05664	1.90051	2.20139	2.05731	2.05587	2.63586	3.4422	2.63608	2.73659	2.69113	3.09305	2.56478	2.73377	2.64981	3.22953	3.30989	3.1513	2.6677	2.59945	2.77606	2.68926	2.42718	2.60817	2.52655	2.70885	2.82744	2.72336	2.51886	2.45464	2.64501	2.67192	2.8889	2.7291	2.61769	2.51059	2.8038	2.82682	2.68715	2.90759	2.64055	3.60065	3.51834	4.26044	3.50039	3.65772	3.56847	3.31935	3.68317	3.27383	3.44291	3.35918	3.63717	3.29528	3.53472	3.40986	3.63332	3.82843	3.6671	3.42733	3.32306	3.5707	4.70542	4.39037	4.40812	4.86305	4.34287	4.58549	4.45095	5.83765	4.86233	4.84686	4.82683	4.83954	4.87461	4.84395	4.8465	0.00414659	0.00362401	0.00304204	0.00339975	0.00461407	0.0035331	0.00361255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.621892	-0.722255	-0.77828	0.0089602	-1.89075	-0.495184	-0.0447325	-0.160348	0.00414659	0.00362401	0.00304204	0.00339975	0.00461407	0.0035331	0.00361255	0.09640668	0.08608016	0.04756519	0.4440848	-1.74203	-0.553357	0.801392	-1.21605	-1.38094	-1.07114	-0.722056	2.2919
40	-392.4156	-368.0438	-24.37188	0.441887	0.437271	0.431344	0.435099	0.445595	0.436406	0.437163	1.23731	1.2511	1.27509	1.51413	1.5359	1.35035	1.20179	1.2105	1.2308	1.48035	1.27934	1.35224	1.24087	1.38917	1.28616	1.44803	1.53916	1.34177	1.3176	1.44971	1.27797	1.88058	2.10116	2.03273	2.0565	1.82367	1.83959	1.85491	2.04819	2.06415	2.00676	1.92778	1.88522	1.92899	2.07109	2.12625	1.98045	1.8782	1.91381	1.87762	2.06332	2.07543	2.00593	2.05312	2.12666	2.17474	2.00422	2.01329	2.05311	1.99238	2.11424	1.98843	2.05965	1.92567	1.98701	1.99324	2.71573	2.4943	2.69261	2.66366	2.68321	2.57234	2.77065	2.68559	2.72821	2.54165	2.52297	2.55462	2.71086	2.74869	2.67147	2.69872	2.8581	2.7575	2.79664	2.67163	2.64125	2.67443	2.79547	2.8301	2.73901	2.71254	2.63264	2.68584	2.7576	2.81631	2.66709	2.6514	2.69984	2.6264	2.75359	3.43418	3.50258	3.28702	3.49367	3.43984	3.47726	3.60201	3.41665	3.59971	3.53592	3.57126	3.45712	3.62681	3.5137	3.5672	3.44498	3.39284	3.43875	3.55665	3.6072	3.50146	4.41184	4.53622	4.5686	4.36716	4.5771	4.48814	4.54198	5.82175	0.184945	0.183013	0.180532	0.182104	0.186497	0.182651	0.182968	0.0121825	0.0113746	0.0104042	0.0110104	0.0128635	0.0112284	0.0113563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.304579	-0.18222	-0.162652	0.157445	-0.963151	-1.33849	-0.147405	0.967226	0.0121825	0.0113746	0.0104042	0.0110104	0.0128635	0.0112284	0.0113563	0.09640668	0.06058273	0.2953468	0.4378028	0.392502	0.311496	0.405355	-0.690523	-3.31239	0.0347834	-1.3253	-0.286294
50	-392.9274	-367.416	-25.51139	0.577637	0.599757	0.629776	0.610541	0.560633	0.604022	0.600288	1.88366	1.88647	1.87319	1.6511	1.65968	1.80672	1.91549	1.91433	1.90296	1.65513	1.83169	1.77487	1.91916	1.75366	1.81102	1.68089	1.6488	1.80578	1.81279	1.66523	1.85043	2.82056	2.57022	2.65676	2.65655	2.85541	2.84989	2.84189	2.57378	2.58025	2.66569	2.73966	2.81826	2.77958	2.60631	2.58819	2.73239	2.77325	2.74055	2.81533	2.6009	2.583	2.67665	2.65031	2.56522	2.5495	2.71221	2.60158	2.58162	2.67326	2.56111	2.67235	2.62329	2.78399	2.70474	2.65454	3.60484	3.84682	3.55358	3.6181	3.61766	3.77234	3.53923	3.64649	3.62694	3.75518	3.80847	3.77867	3.55534	3.54115	3.64775	3.61614	3.46117	3.5799	3.56299	3.57157	3.64119	3.61993	3.47371	3.46241	3.58115	3.58056	3.69781	3.65507	3.55847	3.52772	3.6926	3.611	3.57392	3.6897	3.5506	4.73801	4.72405	4.95064	4.66001	4.75163	4.73186	4.62439	4.75636	4.54543	4.64797	4.63105	4.76384	4.5838	4.723	4.68881	4.70515	4.80403	4.76386	4.61119	4.58256	4.72155	6.1205	5.97617	6.00939	6.16956	5.92144	6.0532	6.01534	7.80001	0.874569	0.908059	0.95351	0.924387	0.848824	0.914516	0.908863	0.0197206	0.0206953	0.0220342	0.0211742	0.0189803	0.0208844	0.0207188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.223358	0.102687	-0.0503824	0.189125	0.67712	-0.135497	0.527494	-2.53073	0.0197206	0.0206953	0.0220342	0.0211742	0.0189803	0.0208844	0.0207188	0.1263941	0.1735983	0.7015374	0.5971574	-0.248813	-0.058552	-0.033663	-1.00197	-2.87304	-0.718138	0.62755	-0.962608
60	-391.3984	-366.7535	-24.64489	0.505661	0.481682	0.452211	0.470711	0.525519	0.477288	0.481131	1.20964	1.17161	1.13648	1.12207	1.09384	1.10119	1.27562	1.24433	1.20183	1.14844	1.18754	1.13872	1.14521	1.11768	1.2061	1.1451	1.10406	1.11455	1.14131	1.16526	1.16178	1.75851	1.70428	1.6926	1.66159	1.86438	1.82373	1.79027	1.76142	1.73253	1.72048	1.76623	1.75205	1.70894	1.7099	1.67326	1.67972	1.8328	1.79158	1.77618	1.73328	1.72195	1.71251	1.67327	1.70199	1.6661	1.67839	1.78382	1.7466	1.73651	1.72577	1.74433	1.69795	1.70961	1.70922	1.7638	2.28391	2.43042	2.36271	2.34409	2.31302	2.34526	2.29644	2.29128	2.25419	2.43477	2.41261	2.3723	2.35753	2.32213	2.31675	2.30111	2.27689	2.27534	2.23908	2.38202	2.365	2.32738	2.33686	2.30237	2.30081	2.3231	2.32108	2.27669	2.30178	2.26117	2.27414	2.38869	2.34609	2.34359	2.32438	2.98948	2.92335	3.06501	2.99812	2.98802	2.95087	2.897	3.0089	2.96708	2.96042	2.92416	2.94952	2.91741	2.9223	2.8806	3.02596	3.01815	2.97458	2.98203	2.94209	2.94689	3.71176	3.67136	3.6201	3.74084	3.68732	3.68985	3.647	4.53253	12.2079	11.629	10.9175	11.3642	12.6874	11.5229	11.6157	0.0596033	0.0619323	0.0650957	0.0630684	0.0578163	0.0623816	0.0619882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.223358	-1.24855	-0.407508	-1.72477	0.538044	-1.31527	-0.68191	-0.410649	0.0596033	0.0619323	0.0650957	0.0630684	0.0578163	0.0623816	0.0619882	0.03977407	0.09161987	0.5442359	0.4843871	-1.09718	0.611448	-0.680599	-1.03246	-0.680165	-1.63957	1.88354	0.596347
70	-388.8708	-366.3411	-22.52971	0.589991	0.597524	0.607459	0.60113	0.58406	0.598955	0.597703	1.48588	1.50427	1.52373	1.59418	1.61033	1.55772	1.45307	1.4667	1.48835	1.57613	1.50547	1.54357	1.51123	1.56172	1.50116	1.56763	1.6073	1.55026	1.53314	1.56142	1.51455	2.25668	2.33674	2.32317	2.3413	2.20257	2.22233	2.23867	2.30133	2.31656	2.30623	2.26605	2.26039	2.2882	2.32677	2.35555	2.31332	2.22861	2.25343	2.25008	2.31665	2.32307	2.30815	2.33592	2.34497	2.37134	2.32043	2.28335	2.30824	2.29616	2.33347	2.291	2.32795	2.28705	2.30362	2.28583	3.11178	2.99784	3.07535	3.07546	3.09251	3.04967	3.12197	3.10086	3.12655	3.00814	3.01213	3.03545	3.08322	3.10706	3.08823	3.10059	3.15399	3.12695	3.15129	3.06244	3.06152	3.08467	3.11502	3.13757	3.11312	3.09588	3.07511	3.10626	3.11655	3.14784	3.10218	3.05517	3.08449	3.06573	3.10778	3.93841	3.98195	3.87112	3.95152	3.94111	3.96544	4.01975	3.92642	3.99331	3.97852	4.00188	3.95953	4.01858	3.98569	4.01602	3.92764	3.91703	3.94581	3.97577	4.0048	3.97395	4.95356	5.00365	5.03105	4.93043	5.00882	4.98356	5.01452	6.2568	0.32207	0.326182	0.331605	0.32815	0.318832	0.326963	0.326279	0.0796729	0.0850918	0.0926882	0.0877888	0.0756216	0.0861543	0.0852236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.159042	1.97505	-0.773983	-1.25158	0.923594	0.0277955	0.178096	-1.4005	0.0796729	0.0850918	0.0926882	0.0877888	0.0756216	0.0861543	0.0852236	0.07261568	0.09617307	0.1445145	0.5966474	-1.34086	0.103953	-0.387744	-0.817556	0.00705285	-0.612911	-1.36955	0.126854
80	-391.2583	-369.303	-21.95524	0.52584	0.566973	0.625269	0.587588	0.495354	0.575083	0.567978	1.84279	1.9617	2.09323	2.84196	2.98786	2.37294	1.64185	1.72151	1.85763	2.66604	1.98452	2.28368	1.99619	2.4419	1.96403	2.56087	2.97299	2.31653	2.18408	2.52288	2.03745	2.94358	3.62532	3.46183	3.60149	2.59825	2.72085	2.82159	3.33761	3.44959	3.33124	3.0242	2.96921	3.16231	3.5309	3.78975	3.35886	2.77136	2.93583	2.90309	3.46278	3.50553	3.34817	3.56198	3.7244	3.9586	3.4336	3.19235	3.38307	3.25803	3.63707	3.22043	3.5171	3.15315	3.30538	3.19394	4.57102	3.74975	4.3136	4.29652	4.41707	4.0984	4.69325	4.48743	4.6882	3.82529	3.84744	3.99836	4.38808	4.57207	4.39841	4.48953	4.97894	4.72081	4.91036	4.21838	4.20117	4.36217	4.6568	4.83099	4.61328	4.46424	4.2893	4.51583	4.65364	4.91513	4.4905	4.16527	4.37499	4.22525	4.59923	5.58338	5.92808	5.1222	5.71106	5.62044	5.79835	6.24528	5.50397	6.0386	5.91928	6.09161	5.75228	6.26336	5.97196	6.20645	5.52492	5.44666	5.64524	5.92355	6.14843	5.88816	7.37334	7.7541	7.9958	7.20729	7.82421	7.62704	7.85835	10.2321	2.42518	2.61488	2.88374	2.70995	2.28457	2.65228	2.61951	0.017503	0.0181024	0.0189121	0.0183938	0.0170417	0.0182177	0.0181168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.44149	-0.24522	-0.0270597	-1.10394	0.472637	-0.0192801	1.05711	0.320061	0.017503	0.0181024	0.0189121	0.0183938	0.0170417	0.0182177	0.0181168	0.2203571	0.05525924	0.1843433	0.5620703	1.86406	0.103953	-1.19775	-0.0662451	-2.01491	-0.347412	0.581594	0.314479
90	-385.3906	-367.2601	-18.13055	0.636988	0.645621	0.657014	0.649756	0.630237	0.647263	0.645825	1.85228	1.88639	1.92742	2.15402	2.18869	2.01632	1.78529	1.80986	1.85211	2.10998	1.90294	1.99669	1.89124	2.04234	1.89987	2.08136	2.18595	2.00097	1.96341	2.07277	1.91555	2.83208	3.06408	3.00883	3.04772	2.72275	2.75997	2.79194	2.98439	3.015	2.97014	2.87054	2.83992	2.90354	3.03399	3.10458	2.96711	2.78943	2.84444	2.82053	3.01477	3.03084	2.97286	3.03813	3.08929	3.15264	2.98984	2.94	2.99715	2.9479	3.06568	2.93875	3.02991	2.90012	2.9564	2.93334	4.03106	3.74813	3.96521	3.95035	3.98555	3.86522	4.07457	3.9993	4.05912	3.78807	3.78405	3.8348	3.98636	4.041	3.97308	4.00581	4.16701	4.07496	4.13095	3.93544	3.91823	3.96949	4.07713	4.12818	4.04473	4.00628	3.93401	4.00743	4.05985	4.13609	3.99155	3.91437	3.98267	3.91666	4.04452	5.11354	5.21337	4.93801	5.16389	5.12043	5.17563	5.32064	5.08683	5.28064	5.22547	5.27813	5.15687	5.33188	5.2246	5.2969	5.10358	5.06063	5.12683	5.23229	5.30118	5.20063	6.58414	6.72268	6.77988	6.52693	6.75165	6.66794	6.74141	8.66307	3.63325	3.68249	3.74747	3.70607	3.59475	3.69185	3.68366	0.0418026	0.0407084	0.0393292	0.0401996	0.0426914	0.0405053	0.040683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.222222	0.420558	-0.0725483	0.122383	-0.372275	0.145886	0.188948	0.788401	0.0418026	0.0407084	0.0393292	0.0401996	0.0426914	0.0405053	0.040683	0.1449834	0.133766	0.08784941	0.6446215	0.942214	0.772438	-0.976346	-0.13087	-0.234771	-0.491666	0.440717	0.907243
