"species","range"
"Colias_alexandra","Nearctic"
"Colias_alfacariensis","Palearctic West"
"Colias_alpherakii","PTH"
"Colias_alta","PTH"
"Colias_arida","PTH"
"Colias_aurorina","Palearctic West"
"Colias_behrii","Nearctic"
"Colias_berylla","PTH"
"Colias_canadensis","Nearctic"
"Colias_caucasica","Palearctic West"
"Colias_chlorocoma","Palearctic West"
"Colias_christina","Nearctic"
"Colias_christophi","PTH"
"Colias_chrysotheme","Palearctic low"
"Colias_cocandica","PTH"
"Colias_croceus","Palearctic West"
"Colias_dimera","Neotropical"
"Colias_diva","PTH"
"Colias_electo","African"
"Colias_eogene","PTH"
"Colias_erate","Palearctic"
"Colias_eurytheme","Nearctic"
"Colias_euxanthe","Neotropical"
"Colias_fieldii","East Asia"
"Colias_flaveola","Neotropical"
"Colias_grumi","PTH"
"Colias_hecla","Arctic"
"Colias_heos","Palearctic East"
"Colias_hyale","Palearctic"
"Colias_hyperborea","Nam Asia"
"Colias_interior","Nearctic"
"Colias_lada","PTH"
"Colias_ladakensis","PTH"
"Colias_lesbia","Neotropical"
"Colias_marcopolo","PTH"
"Colias_meadii","Nearctic"
"Colias_montium","PTH"
"Colias_mossi","Neotropical"
"Colias_myrmidone","Palearctic West"
"Colias_nastes","Nam Asia"
"Colias_nebulosa","PTH"
"Colias_nina","PTH"
"Colias_palaeno","Arctic"
"Colias_pelidne","Nearctic"
"Colias_phicomone","Palearctic West"
"Colias_philodice","Nearctic"
"Colias_poliographus","East Asia"
"Colias_rankinensis","Nearctic"
"Colias_regia","PTH"
"Colias_romanovi","PTH"
"Colias_scudderii","Nearctic"
"Colias_shafuladi","PTH"
"Colias_sieversi","PTH"
"Colias_sifanica","PTH"
"Colias_skinneri","Nearctic"
"Colias_staudingeri","PTH"
"Colias_stoliczkana","PTH"
"Colias_tamerlana","Palearctic East"
"Colias_thisoa","West PTH"
"Colias_thrasibulus","PTH"
"Colias_tibetana","PTH"
"Colias_tyche","Arctic"
"Colias_vauthierii","Neotropical"
"Colias_wanda","PTH"
"Colias_weberbaueri","Neotropical"
"Colias_wiskotti","PTH"
