Species,north_south,expansions
Colias_dimera,south,
Colias_vauthierii,south,
Colias_lesbia,south,
Colias_mossi,south,
Colias_flaveola,south,
Colias_euxanthe,south,
Colias_weberbaueri,south,
Colias_phicomone,north,
Colias_tamerlana,north,
Colias_rankinensis,north,NAr_expansion
Colias_viluiensis,north,NAr_expansion
Colias_nastes,north,NAr_expansion
Colias_canadensis,north,NAr_expansion
Colias_hecla,north,NAr_expansion
Colias_tyche,north,NAr_expansion
Colias_meadii,north,NAr_expansion
Colias_hyperborea,north,NAr_expansion
Colias_pelidne,north,NAr_expansion
Colias_scudderii,north,NAr_expansion
Colias_alexandra,north,NAr_expansion
Colias_christina,north,NAr_expansion
Colias_eurytheme,north,NAr_expansion
Colias_philodice,north,NAr_expansion
Colias_behrii,north,NAr_expansion
Colias_palaeno,north,NAr_expansion
Colias_skinneri,north,NAr_expansion
Colias_interior,north,NAr_expansion
Colias_heos,north,
Colias_diva,north,
Colias_eogene,north,
Colias_tibetana,north,
Colias_fieldii,north,
Colias_montium,north,
Colias_thrasibulus,north,
Colias_nebulosa,north,
Colias_sifanica,north,
Colias_ladakensis,north,
Colias_nina,north,
Colias_lada,north,
Colias_grumi,north,
Colias_berylla,north,
Colias_stoliczkana,north,
Colias_wanda,north,
Colias_arida,north,
Colias_regia,north,
Colias_staudingeri,north,
Colias_cocandica,north,
Colias_aurorina,north,
Colias_chlorocoma,north,
Colias_romanovi,north,
Colias_christophi,north,
Colias_marcopolo,north,
Colias_sieversi,north,
Colias_wiskotti,north,
Colias_alpherakii,north,
Colias_shafuladi,north,
Colias_chrysotheme,north,
Colias_thisoa,north,
Colias_caucasica,north,
Colias_myrmidone,north,
Colias_alfacariensis,north,
Colias_alta,north,
Colias_hyale,north,
Colias_electo,north,Pal_expansion
Colias_poliographus,north,Pal_expansion
Colias_erate,north,Pal_expansion
Colias_croceus,north,Pal_expansion
Colias_harfordii,north,NAr_expansion
Colias_occidentalis,north,NAr_expansion
Colias_aegidii,north,
Colias_adelaidae,north,
Colias_felderi,north,
Colias_erschoffi,north,
Colias_sagartia,north,
Colias_aias,north,
Colias_leechi,north,
Colias_nilagiriensis,north,
Colias_marnoana,north,
Colias_ponteni,north,
Colias_dubia,north,
