Iteration	Posterior	Likelihood	Prior	clock_host	phy_scale[1]	phy_scale[2]	switch_rate_0_to_2	switch_rate_2_to_0	switch_rates[1]	switch_rates[2]	switch_rates[3]	switch_rates[4]	switch_rates[5]	switch_rates[6]	switch_rates_pos[1]	switch_rates_pos[2]
0	-2981.668	-2978.541	-3.126534	2.409936	0.716598	0.716598	0.3511532	0.6488468	1e-06	0.351153	1e-06	1e-06	0.648847	1e-06	0.351153	0.648847
500	-1631.402	-1629.91	-1.492853	1.47773	0.0151234	0.0151234	0.09385628	0.9061437	1e-06	0.0938563	1e-06	1e-06	0.906144	1e-06	0.0938563	0.906144
1000	-1143.569	-1142.575	-0.9936759	0.9589839	0.0346919	0.0346919	0.0592898	0.9407102	1e-06	0.0592898	1e-06	1e-06	0.94071	1e-06	0.0592898	0.94071
1500	-1060.572	-1059.709	-0.8631537	0.7548594	0.108294	0.108294	0.07305107	0.9269489	1e-06	0.0730511	1e-06	1e-06	0.926949	1e-06	0.0730511	0.926949
2000	-971.6078	-970.6256	-0.9821817	0.7146503	0.267531	0.267531	0.05999772	0.9400023	1e-06	0.0599977	1e-06	1e-06	0.940002	1e-06	0.0599977	0.940002
2500	-900.2593	-899.4195	-0.8397973	0.7088769	0.13092	0.13092	0.05091416	0.9490858	1e-06	0.0509142	1e-06	1e-06	0.949086	1e-06	0.0509142	0.949086
3000	-926.3889	-925.6414	-0.7474946	0.6747773	0.0727173	0.0727173	0.06336958	0.9366304	1e-06	0.0633696	1e-06	1e-06	0.93663	1e-06	0.0633696	0.93663
3500	-883.7019	-883.003	-0.6988102	0.579453	0.119357	0.119357	0.05562308	0.9443769	1e-06	0.0556231	1e-06	1e-06	0.944377	1e-06	0.0556231	0.944377
4000	-853.4792	-852.7894	-0.6898044	0.6062984	0.083506	0.083506	0.0688711	0.9311289	1e-06	0.0688711	1e-06	1e-06	0.931129	1e-06	0.0688711	0.931129
4500	-899.2235	-898.4667	-0.7568104	0.6749712	0.0818392	0.0818392	0.05845822	0.9415418	1e-06	0.0584582	1e-06	1e-06	0.941542	1e-06	0.0584582	0.941542
5000	-911.2151	-910.5222	-0.6929008	0.6550998	0.037801	0.037801	0.06304475	0.9369552	1e-06	0.0630448	1e-06	1e-06	0.936955	1e-06	0.0630448	0.936955
5500	-899.9114	-899.287	-0.6243522	0.616352	0.00800018	0.00800018	0.07191335	0.9280866	1e-06	0.0719134	1e-06	1e-06	0.928087	1e-06	0.0719134	0.928087
6000	-818.7931	-818.2207	-0.5724098	0.4805894	0.0918204	0.0918204	0.06961166	0.9303883	1e-06	0.0696117	1e-06	1e-06	0.930388	1e-06	0.0696117	0.930388
6500	-923.5419	-922.8587	-0.6831876	0.6578893	0.0252983	0.0252983	0.07125543	0.9287446	1e-06	0.0712554	1e-06	1e-06	0.928745	1e-06	0.0712554	0.928745
7000	-925.4673	-924.7789	-0.6884041	0.6019328	0.0864712	0.0864712	0.08118803	0.918812	1e-06	0.081188	1e-06	1e-06	0.918812	1e-06	0.081188	0.918812
7500	-825.2863	-824.718	-0.5683163	0.5405434	0.027773	0.027773	0.0631441	0.9368559	1e-06	0.0631441	1e-06	1e-06	0.936856	1e-06	0.0631441	0.936856
8000	-878.283	-877.6281	-0.6549743	0.5934924	0.0614819	0.0614819	0.06616002	0.93384	1e-06	0.06616	1e-06	1e-06	0.93384	1e-06	0.06616	0.93384
8500	-814.6056	-813.942	-0.6636077	0.5400882	0.12352	0.12352	0.08163493	0.9183651	1e-06	0.0816349	1e-06	1e-06	0.918365	1e-06	0.0816349	0.918365
9000	-831.2641	-830.6809	-0.5832173	0.5116717	0.0715456	0.0715456	0.07886382	0.9211362	1e-06	0.0788638	1e-06	1e-06	0.921136	1e-06	0.0788638	0.921136
9500	-874.4774	-873.8547	-0.6226807	0.5728444	0.0498363	0.0498363	0.06975588	0.9302441	1e-06	0.0697559	1e-06	1e-06	0.930244	1e-06	0.0697559	0.930244
10000	-814.9854	-814.4263	-0.5591875	0.5279836	0.0312038	0.0312038	0.06414661	0.9358534	1e-06	0.0641466	1e-06	1e-06	0.935853	1e-06	0.0641466	0.935853
10500	-824.1499	-823.3805	-0.7693745	0.6462365	0.123138	0.123138	0.05021116	0.9497888	1e-06	0.0502112	1e-06	1e-06	0.949789	1e-06	0.0502112	0.949789
11000	-887.6775	-886.8347	-0.8428224	0.5993683	0.243454	0.243454	0.0661398	0.9338602	1e-06	0.0661398	1e-06	1e-06	0.93386	1e-06	0.0661398	0.93386
11500	-905.6609	-904.9924	-0.668524	0.642614	0.0259099	0.0259099	0.06680987	0.9331901	1e-06	0.0668099	1e-06	1e-06	0.93319	1e-06	0.0668099	0.93319
12000	-906.1965	-905.3319	-0.8645375	0.6424217	0.222116	0.222116	0.0603834	0.9396166	1e-06	0.0603834	1e-06	1e-06	0.939617	1e-06	0.0603834	0.939617
12500	-814.0925	-812.9692	-1.12328	0.5798377	0.543442	0.543442	0.07139489	0.9286051	1e-06	0.0713949	1e-06	1e-06	0.928605	1e-06	0.0713949	0.928605
13000	-895.7107	-894.981	-0.7296651	0.5821696	0.147496	0.147496	0.08410926	0.9158907	1e-06	0.0841093	1e-06	1e-06	0.915891	1e-06	0.0841093	0.915891
13500	-837.6121	-837.08	-0.5320624	0.5207683	0.0112941	0.0112941	0.06582166	0.9341783	1e-06	0.0658217	1e-06	1e-06	0.934178	1e-06	0.0658217	0.934178
14000	-857.1223	-856.5184	-0.6039342	0.5968881	0.00704615	0.00704615	0.06292731	0.9370727	1e-06	0.0629273	1e-06	1e-06	0.937073	1e-06	0.0629273	0.937073
14500	-902.1614	-901.3771	-0.7842714	0.684046	0.100225	0.100225	0.06331336	0.9366866	1e-06	0.0633134	1e-06	1e-06	0.936687	1e-06	0.0633134	0.936687
15000	-875.5943	-874.7497	-0.8445613	0.59268	0.251881	0.251881	0.06740255	0.9325974	1e-06	0.0674026	1e-06	1e-06	0.932597	1e-06	0.0674026	0.932597
15500	-856.6291	-855.9272	-0.7018543	0.5644056	0.137449	0.137449	0.06504771	0.9349523	1e-06	0.0650477	1e-06	1e-06	0.934952	1e-06	0.0650477	0.934952
16000	-863.3611	-862.78	-0.5810878	0.5765392	0.00454862	0.00454862	0.06665436	0.9333456	1e-06	0.0666544	1e-06	1e-06	0.933346	1e-06	0.0666544	0.933346
16500	-836.6947	-836.0357	-0.6590085	0.5709803	0.0880282	0.0880282	0.0704514	0.9295486	1e-06	0.0704514	1e-06	1e-06	0.929549	1e-06	0.0704514	0.929549
17000	-893.6018	-892.8836	-0.7181646	0.6856479	0.0325166	0.0325166	0.06378029	0.9362197	1e-06	0.0637803	1e-06	1e-06	0.93622	1e-06	0.0637803	0.93622
17500	-803.5721	-802.8709	-0.7012131	0.6228956	0.0783176	0.0783176	0.05164533	0.9483547	1e-06	0.0516453	1e-06	1e-06	0.948355	1e-06	0.0516453	0.948355
18000	-909.4335	-908.6369	-0.796629	0.6739298	0.122699	0.122699	0.05539779	0.9446022	1e-06	0.0553978	1e-06	1e-06	0.944602	1e-06	0.0553978	0.944602
18500	-853.1851	-852.5269	-0.6581345	0.6560286	0.00210592	0.00210592	0.05827933	0.9417207	1e-06	0.0582793	1e-06	1e-06	0.941721	1e-06	0.0582793	0.941721
19000	-836.9396	-836.0297	-0.9098661	0.6130192	0.296847	0.296847	0.05759046	0.9424095	1e-06	0.0575905	1e-06	1e-06	0.94241	1e-06	0.0575905	0.94241
19500	-856.4649	-855.8027	-0.6622449	0.589747	0.0724979	0.0724979	0.05958135	0.9404187	1e-06	0.0595813	1e-06	1e-06	0.940419	1e-06	0.0595813	0.940419
20000	-908.3937	-907.6311	-0.7626572	0.6173547	0.145303	0.145303	0.05791887	0.9420811	1e-06	0.0579189	1e-06	1e-06	0.942081	1e-06	0.0579189	0.942081
20500	-812.107	-811.5178	-0.5892712	0.5260629	0.0632083	0.0632083	0.07862291	0.9213771	1e-06	0.0786229	1e-06	1e-06	0.921377	1e-06	0.0786229	0.921377
21000	-885.5845	-884.8788	-0.7057955	0.7018783	0.00391716	0.00391716	0.0574783	0.9425217	1e-06	0.0574783	1e-06	1e-06	0.942522	1e-06	0.0574783	0.942522
21500	-811.8864	-811.337	-0.5494006	0.5404051	0.00899556	0.00899556	0.06324203	0.936758	1e-06	0.063242	1e-06	1e-06	0.936758	1e-06	0.063242	0.936758
22000	-908.3118	-907.5806	-0.73125	0.6168234	0.114427	0.114427	0.06093326	0.9390667	1e-06	0.0609333	1e-06	1e-06	0.939067	1e-06	0.0609333	0.939067
22500	-881.4988	-880.7524	-0.7463828	0.6369672	0.109416	0.109416	0.06734118	0.9326588	1e-06	0.0673412	1e-06	1e-06	0.932659	1e-06	0.0673412	0.932659
23000	-935.9029	-935.2294	-0.6735356	0.6479157	0.0256199	0.0256199	0.06492176	0.9350782	1e-06	0.0649218	1e-06	1e-06	0.935078	1e-06	0.0649218	0.935078
23500	-906.1851	-905.4047	-0.7804732	0.670751	0.109722	0.109722	0.06348242	0.9365176	1e-06	0.0634824	1e-06	1e-06	0.936518	1e-06	0.0634824	0.936518
24000	-849.434	-848.837	-0.5969228	0.588746	0.0081768	0.0081768	0.06071258	0.9392874	1e-06	0.0607126	1e-06	1e-06	0.939287	1e-06	0.0607126	0.939287
24500	-889.3528	-888.6893	-0.6635715	0.5848171	0.0787544	0.0787544	0.07154291	0.9284571	1e-06	0.0715429	1e-06	1e-06	0.928457	1e-06	0.0715429	0.928457
25000	-845.497	-844.8229	-0.6741453	0.6475652	0.0265801	0.0265801	0.06741034	0.9325897	1e-06	0.0674103	1e-06	1e-06	0.93259	1e-06	0.0674103	0.93259
25500	-821.4481	-820.9328	-0.5152576	0.5073007	0.00795686	0.00795686	0.07400056	0.9259994	1e-06	0.0740006	1e-06	1e-06	0.925999	1e-06	0.0740006	0.925999
26000	-859.491	-858.8582	-0.6327969	0.5375806	0.0952163	0.0952163	0.07791028	0.9220897	1e-06	0.0779103	1e-06	1e-06	0.92209	1e-06	0.0779103	0.92209
26500	-852.8379	-852.1456	-0.6922947	0.6276731	0.0646216	0.0646216	0.06587683	0.9341232	1e-06	0.0658768	1e-06	1e-06	0.934123	1e-06	0.0658768	0.934123
27000	-798.7069	-798.161	-0.5458498	0.5077861	0.0380637	0.0380637	0.0670424	0.9329576	1e-06	0.0670424	1e-06	1e-06	0.932958	1e-06	0.0670424	0.932958
27500	-812.8788	-812.1539	-0.7249534	0.5760578	0.148896	0.148896	0.06178391	0.9382161	1e-06	0.0617839	1e-06	1e-06	0.938216	1e-06	0.0617839	0.938216
28000	-874.8263	-874.1868	-0.6395555	0.6357505	0.00380503	0.00380503	0.07287256	0.9271274	1e-06	0.0728726	1e-06	1e-06	0.927127	1e-06	0.0728726	0.927127
28500	-863.6738	-863.0026	-0.6711547	0.6211254	0.0500293	0.0500293	0.05804154	0.9419585	1e-06	0.0580415	1e-06	1e-06	0.941958	1e-06	0.0580415	0.941958
29000	-777.3872	-776.7861	-0.6011295	0.467906	0.133224	0.133224	0.070686	0.929314	1e-06	0.070686	1e-06	1e-06	0.929314	1e-06	0.070686	0.929314
29500	-816.7068	-815.7341	-0.9727391	0.6358354	0.336904	0.336904	0.05873054	0.9412695	1e-06	0.0587305	1e-06	1e-06	0.941269	1e-06	0.0587305	0.941269
30000	-888.9031	-888.1895	-0.7136326	0.6285945	0.0850382	0.0850382	0.06244196	0.937558	1e-06	0.062442	1e-06	1e-06	0.937558	1e-06	0.062442	0.937558
30500	-802.9009	-802.3084	-0.5925118	0.5156655	0.0768463	0.0768463	0.08118402	0.918816	1e-06	0.081184	1e-06	1e-06	0.918816	1e-06	0.081184	0.918816
31000	-860.7863	-860.148	-0.6383545	0.5968543	0.0415002	0.0415002	0.07082333	0.9291767	1e-06	0.0708233	1e-06	1e-06	0.929177	1e-06	0.0708233	0.929177
31500	-854.4148	-853.6696	-0.7451819	0.5780531	0.167129	0.167129	0.06115465	0.9388453	1e-06	0.0611547	1e-06	1e-06	0.938845	1e-06	0.0611547	0.938845
32000	-859.439	-858.5852	-0.8537291	0.6256412	0.228088	0.228088	0.05300589	0.9469941	1e-06	0.0530059	1e-06	1e-06	0.946994	1e-06	0.0530059	0.946994
32500	-817.2393	-816.5964	-0.6429478	0.6162353	0.0267125	0.0267125	0.06498911	0.9350109	1e-06	0.0649891	1e-06	1e-06	0.935011	1e-06	0.0649891	0.935011
33000	-863.0871	-862.4381	-0.6489701	0.6407199	0.00825017	0.00825017	0.06178731	0.9382127	1e-06	0.0617873	1e-06	1e-06	0.938213	1e-06	0.0617873	0.938213
33500	-812.9696	-812.326	-0.643646	0.5696767	0.0739693	0.0739693	0.07103392	0.9289661	1e-06	0.0710339	1e-06	1e-06	0.928966	1e-06	0.0710339	0.928966
34000	-825.6821	-825.1406	-0.5415259	0.5294248	0.0121011	0.0121011	0.06734242	0.9326576	1e-06	0.0673424	1e-06	1e-06	0.932658	1e-06	0.0673424	0.932658
34500	-824.8586	-824.2552	-0.6033935	0.5057523	0.0976412	0.0976412	0.07615163	0.9238484	1e-06	0.0761516	1e-06	1e-06	0.923848	1e-06	0.0761516	0.923848
35000	-806.3693	-805.743	-0.6263015	0.5429474	0.0833542	0.0833542	0.0686896	0.9313104	1e-06	0.0686896	1e-06	1e-06	0.93131	1e-06	0.0686896	0.93131
35500	-900.7143	-900.174	-0.5403248	0.5204015	0.0199232	0.0199232	0.07673371	0.9232663	1e-06	0.0767337	1e-06	1e-06	0.923266	1e-06	0.0767337	0.923266
