Iteration	Posterior	Likelihood	Prior	clock_host	switch_rate_0_to_2	switch_rate_2_to_0	switch_rates[1]	switch_rates[2]	switch_rates[3]	switch_rates[4]	switch_rates[5]	switch_rates[6]	switch_rates_pos[1]	switch_rates_pos[2]
0	-4011.663	-4010.946	-0.7165976	0.7165976	0.3511532	0.6488468	1e-06	0.351153	1e-06	1e-06	0.648847	1e-06	0.351153	0.648847
50	-2915.508	-2914.183	-1.325011	1.325011	0.0783036	0.9216964	1e-06	0.0783036	1e-06	1e-06	0.921696	1e-06	0.0783036	0.921696
100	-2774.197	-2772.933	-1.26365	1.26365	0.07201617	0.9279838	1e-06	0.0720162	1e-06	1e-06	0.927984	1e-06	0.0720162	0.927984
150	-2551.858	-2550.584	-1.274612	1.274612	0.06793024	0.9320698	1e-06	0.0679302	1e-06	1e-06	0.93207	1e-06	0.0679302	0.93207
200	-2496.391	-2495.316	-1.074603	1.074603	0.07537181	0.9246282	1e-06	0.0753718	1e-06	1e-06	0.924628	1e-06	0.0753718	0.924628
250	-2465.764	-2464.626	-1.138496	1.138496	0.06729805	0.932702	1e-06	0.067298	1e-06	1e-06	0.932702	1e-06	0.067298	0.932702
300	-2412.141	-2411.001	-1.140182	1.140182	0.06709848	0.9329015	1e-06	0.0670985	1e-06	1e-06	0.932902	1e-06	0.0670985	0.932902
350	-2292.257	-2291.167	-1.089655	1.089655	0.05962787	0.9403721	1e-06	0.0596279	1e-06	1e-06	0.940372	1e-06	0.0596279	0.940372
400	-2289.962	-2288.882	-1.080593	1.080593	0.06250151	0.9374985	1e-06	0.0625015	1e-06	1e-06	0.937498	1e-06	0.0625015	0.937498
450	-2147.227	-2146.318	-0.9096688	0.9096688	0.05808576	0.9419142	1e-06	0.0580858	1e-06	1e-06	0.941914	1e-06	0.0580858	0.941914
500	-2243.975	-2242.981	-0.9947145	0.9947145	0.05767724	0.9423228	1e-06	0.0576772	1e-06	1e-06	0.942323	1e-06	0.0576772	0.942323
550	-2204.281	-2203.277	-1.003448	1.003448	0.05992149	0.9400785	1e-06	0.0599215	1e-06	1e-06	0.940079	1e-06	0.0599215	0.940079
600	-2118.282	-2117.302	-0.9803669	0.9803669	0.05421741	0.9457826	1e-06	0.0542174	1e-06	1e-06	0.945783	1e-06	0.0542174	0.945783
650	-2150.674	-2149.733	-0.9405777	0.9405777	0.06715687	0.9328431	1e-06	0.0671569	1e-06	1e-06	0.932843	1e-06	0.0671569	0.932843
700	-1998.998	-1998.097	-0.9004774	0.9004774	0.04754105	0.952459	1e-06	0.047541	1e-06	1e-06	0.952459	1e-06	0.047541	0.952459
750	-1945.673	-1944.77	-0.9026118	0.9026118	0.0499913	0.9500087	1e-06	0.0499913	1e-06	1e-06	0.950009	1e-06	0.0499913	0.950009
800	-1943.246	-1942.331	-0.9156958	0.9156958	0.04869469	0.9513053	1e-06	0.0486947	1e-06	1e-06	0.951305	1e-06	0.0486947	0.951305
850	-1976.393	-1975.438	-0.9556931	0.9556931	0.04859208	0.9514079	1e-06	0.0485921	1e-06	1e-06	0.951408	1e-06	0.0485921	0.951408
900	-2037.085	-2036.17	-0.9149284	0.9149284	0.05477088	0.9452291	1e-06	0.0547709	1e-06	1e-06	0.945229	1e-06	0.0547709	0.945229
950	-2121.254	-2120.298	-0.956787	0.956787	0.05955584	0.9404442	1e-06	0.0595558	1e-06	1e-06	0.940444	1e-06	0.0595558	0.940444
1000	-1995.928	-1995.039	-0.8882634	0.8882634	0.05443756	0.9455624	1e-06	0.0544376	1e-06	1e-06	0.945562	1e-06	0.0544376	0.945562
1050	-1771.065	-1770.284	-0.7808433	0.7808433	0.04149102	0.958509	1e-06	0.041491	1e-06	1e-06	0.958509	1e-06	0.041491	0.958509
1100	-1773.826	-1772.991	-0.8351075	0.8351075	0.04115154	0.9588485	1e-06	0.0411515	1e-06	1e-06	0.958848	1e-06	0.0411515	0.958848
1150	-1929.29	-1928.43	-0.8597412	0.8597412	0.06045588	0.9395441	1e-06	0.0604559	1e-06	1e-06	0.939544	1e-06	0.0604559	0.939544
1200	-1899.611	-1898.779	-0.8324492	0.8324492	0.05381021	0.9461898	1e-06	0.0538102	1e-06	1e-06	0.94619	1e-06	0.0538102	0.94619
1250	-1837.949	-1837.171	-0.7779935	0.7779935	0.04346064	0.9565394	1e-06	0.0434606	1e-06	1e-06	0.956539	1e-06	0.0434606	0.956539
1300	-1852.664	-1851.793	-0.8708109	0.8708109	0.04318368	0.9568163	1e-06	0.0431837	1e-06	1e-06	0.956816	1e-06	0.0431837	0.956816
1350	-1779.685	-1778.87	-0.8146807	0.8146807	0.0531458	0.9468542	1e-06	0.0531458	1e-06	1e-06	0.946854	1e-06	0.0531458	0.946854
1400	-1720.637	-1719.773	-0.86421	0.86421	0.03806701	0.961933	1e-06	0.038067	1e-06	1e-06	0.961933	1e-06	0.038067	0.961933
1450	-1668.345	-1667.554	-0.7912549	0.7912549	0.04331758	0.9566824	1e-06	0.0433176	1e-06	1e-06	0.956682	1e-06	0.0433176	0.956682
1500	-1801.862	-1801.008	-0.8538365	0.8538365	0.04683747	0.9531625	1e-06	0.0468375	1e-06	1e-06	0.953163	1e-06	0.0468375	0.953163
1550	-1812.651	-1811.819	-0.8319467	0.8319467	0.04675058	0.9532494	1e-06	0.0467506	1e-06	1e-06	0.953249	1e-06	0.0467506	0.953249
1600	-1760.487	-1759.679	-0.808352	0.808352	0.04431272	0.9556873	1e-06	0.0443127	1e-06	1e-06	0.955687	1e-06	0.0443127	0.955687
1650	-1759.658	-1758.849	-0.8094008	0.8094008	0.0438417	0.9561583	1e-06	0.0438417	1e-06	1e-06	0.956158	1e-06	0.0438417	0.956158
1700	-1887.931	-1886.982	-0.9493878	0.9493878	0.04105591	0.9589441	1e-06	0.0410559	1e-06	1e-06	0.958944	1e-06	0.0410559	0.958944
1750	-1790.463	-1789.645	-0.8181718	0.8181718	0.04171101	0.958289	1e-06	0.041711	1e-06	1e-06	0.958289	1e-06	0.041711	0.958289
1800	-1787.516	-1786.662	-0.8541933	0.8541933	0.0403085	0.9596915	1e-06	0.0403085	1e-06	1e-06	0.959692	1e-06	0.0403085	0.959692
1850	-1761.329	-1760.558	-0.7706811	0.7706811	0.03976728	0.9602327	1e-06	0.0397673	1e-06	1e-06	0.960233	1e-06	0.0397673	0.960233
1900	-1739.059	-1738.292	-0.7666083	0.7666083	0.04841907	0.9515809	1e-06	0.0484191	1e-06	1e-06	0.951581	1e-06	0.0484191	0.951581
1950	-1861.475	-1860.66	-0.8150259	0.8150259	0.0516015	0.9483985	1e-06	0.0516015	1e-06	1e-06	0.948399	1e-06	0.0516015	0.948399
2000	-1825.67	-1824.79	-0.8800385	0.8800385	0.0431222	0.9568778	1e-06	0.0431222	1e-06	1e-06	0.956878	1e-06	0.0431222	0.956878
2050	-1890.847	-1889.956	-0.8912041	0.8912041	0.04113778	0.9588622	1e-06	0.0411378	1e-06	1e-06	0.958862	1e-06	0.0411378	0.958862
2100	-1795.56	-1794.713	-0.8478433	0.8478433	0.04657468	0.9534253	1e-06	0.0465747	1e-06	1e-06	0.953425	1e-06	0.0465747	0.953425
2150	-1766.645	-1765.831	-0.81351	0.81351	0.04507642	0.9549236	1e-06	0.0450764	1e-06	1e-06	0.954924	1e-06	0.0450764	0.954924
2200	-1733.822	-1733.008	-0.8142541	0.8142541	0.04362149	0.9563785	1e-06	0.0436215	1e-06	1e-06	0.956379	1e-06	0.0436215	0.956379
2250	-1689.399	-1688.573	-0.8266646	0.8266646	0.04056998	0.95943	1e-06	0.04057	1e-06	1e-06	0.95943	1e-06	0.04057	0.95943
2300	-1787.389	-1786.516	-0.8727767	0.8727767	0.0436572	0.9563428	1e-06	0.0436572	1e-06	1e-06	0.956343	1e-06	0.0436572	0.956343
2350	-1759.129	-1758.26	-0.8696925	0.8696925	0.04136087	0.9586391	1e-06	0.0413609	1e-06	1e-06	0.958639	1e-06	0.0413609	0.958639
2400	-1822.798	-1821.941	-0.8575173	0.8575173	0.04656844	0.9534316	1e-06	0.0465684	1e-06	1e-06	0.953432	1e-06	0.0465684	0.953432
2450	-1873.729	-1872.915	-0.8148234	0.8148234	0.05470063	0.9452994	1e-06	0.0547006	1e-06	1e-06	0.945299	1e-06	0.0547006	0.945299
2500	-1762.875	-1762.042	-0.8328986	0.8328986	0.04614503	0.953855	1e-06	0.046145	1e-06	1e-06	0.953855	1e-06	0.046145	0.953855
2550	-1687.75	-1686.92	-0.8298571	0.8298571	0.03924109	0.9607589	1e-06	0.0392411	1e-06	1e-06	0.960759	1e-06	0.0392411	0.960759
2600	-1814.39	-1813.563	-0.8273026	0.8273026	0.0446706	0.9553294	1e-06	0.0446706	1e-06	1e-06	0.955329	1e-06	0.0446706	0.955329
